ObjectName,R,G,B
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_30_CitySample_HLOD0_000000000b5b730c,159,79,79
Modular_Curb_5_M_LOD0_vcflbc0dw_WHITE_31_CitySample_HLOD0_000000000b5b730c,223,79,79
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_32_CitySample_HLOD0_000000000b5b730c,79,255,255
Modular_Curb_5_M_LOD0_vcjmecpdw_33_CitySample_HLOD0_000000000b5b730c,79,255,127
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_34_CitySample_HLOD0_000000000b5b730c,79,255,191
Modular_Curb_5_M_LOD0_vcjmecpdw_WHITE_35_CitySample_HLOD0_000000000b5b730c,79,255,95
Modular_Curb_5_M_LOD0_vccgfazdw_36_CitySample_HLOD0_000000000b5b730c,79,255,159
Modular_Curb_5_M_LOD0_vccgfazdw_RED_37_CitySample_HLOD0_000000000b5b730c,79,255,223
Modular_Curb_5_M_LOD0_vccgfazdw_WHITE_38_CitySample_HLOD0_000000000b5b730c,79,127,255
Modular_Median_4_M_LOD0_vcdmdexdw_39_CitySample_HLOD0_000000000b5b730c,79,127,127
Modular_Median_4_M_LOD0_vcchabhdw_40_CitySample_HLOD0_000000000b5b730c,79,127,191
SM_Plaza_Square_B_41_CitySample_HLOD0_000000000b5b730c,79,127,95
SM_Plaza_Square_D_42_CitySample_HLOD0_000000000b5b730c,79,127,159
SM_Sidewalk_1M_square_A_43_CitySample_HLOD0_000000000b5b730c,79,127,223
SM_Sidewalk_6_3_A_44_CitySample_HLOD0_000000000b5b730c,79,191,255
SM_Sidewalk_6_3_B_45_CitySample_HLOD0_000000000b5b730c,79,191,127
SM_Sidewalk_6_3_C_46_CitySample_HLOD0_000000000b5b730c,79,191,191
SM_Sidewalk_6_3_D_47_CitySample_HLOD0_000000000b5b730c,79,191,95
SM_Sidewalk_6_3_E_48_CitySample_HLOD0_000000000b5b730c,79,191,159
SM_Barricade_A_49_CitySample_HLOD0_000000000b5b730c,79,191,223
Pier_Deck_02_N1_50_CitySample_HLOD0_000000000b5b730c,79,95,255
Pier_Roof_A_01_N1_51_CitySample_HLOD0_000000000b5b730c,79,95,127
SM_roof_pipe_a_N1_52_CitySample_HLOD0_000000000b5b730c,79,95,191
SM_roof_exhaust_a_N1_53_CitySample_HLOD0_000000000b5b730c,79,95,95
Pier_Roof_Mid_A_02_N1_54_CitySample_HLOD0_000000000b5b730c,79,95,159
Pier_Roof_Mid_A_01_N1_55_CitySample_HLOD0_000000000b5b730c,79,95,223
Pier_bldg_Wall_01_N1_56_CitySample_HLOD0_000000000b5b730c,79,159,255
Pier_bldg_EndCap_A_02_N1_57_CitySample_HLOD0_000000000b5b730c,79,159,127
SM_roof_Ac_pipe_a_N1_58_CitySample_HLOD0_000000000b5b730c,79,159,191
Cement_Bollard_Closed_59_CitySample_HLOD0_000000000b5b730c,79,159,95
Cement_Bollard__60_CitySample_HLOD0_000000000b5b730c,79,159,159
uiohfgxfa_LOD0_61_CitySample_HLOD0_000000000b5b730c,79,159,223
Pier_Deck_01_N1_62_CitySample_HLOD0_000000000b5b730c,79,223,255
SM_roof_pipe_b_N1_63_CitySample_HLOD0_000000000b5b730c,79,223,127
Pier_Deck_Corner_01_N1_64_CitySample_HLOD0_000000000b5b730c,79,223,191
Pier_Roof_A_02_N1_65_CitySample_HLOD0_000000000b5b730c,79,223,95
Pier_bldg_Wall_02_N1_66_CitySample_HLOD0_000000000b5b730c,79,223,159
Pier_bldg_EndCap_A_01_N1_67_CitySample_HLOD0_000000000b5b730c,79,223,223
SM_roof_pipe_exhaust_b_N1_68_CitySample_HLOD0_000000000b5b730c,79,255,79
SM_RooftopVent_N1_69_CitySample_HLOD0_000000000b5b730c,79,127,79
SM_roof_track_N1_70_CitySample_HLOD0_000000000b5b730c,79,191,79
Pier_bldg_Wall_03_N1_71_CitySample_HLOD0_000000000b5b730c,79,95,79
Pier_Bumper_01_N1_72_CitySample_HLOD0_000000000b5b730c,79,159,79
SM_roof_exit_b_N1_73_CitySample_HLOD0_000000000b5b730c,79,223,79
SM_roof_breaker_box_b_N1_74_CitySample_HLOD0_000000000b5b730c,79,79,255
SM_roof_platform_b_N1_75_CitySample_HLOD0_000000000b5b730c,79,79,127
uh4ffdmga_LOD0_76_CitySample_HLOD0_000000000b5b730c,79,79,191
SM_roof_storage_N1_77_CitySample_HLOD0_000000000b5b730c,79,79,95
SM_FreewaySign_Frame_A_SpotLight_01_N1_78_CitySample_HLOD0_000000000b5b730c,79,79,159
SM_Ladder_A01_N1_79_CitySample_HLOD0_000000000b5b730c,79,79,223
SM_BLDG_Prop_FirehoseConn_Outlet_A01_N1_80_CitySample_HLOD0_000000000b5b730c,79,79,79
SM_FWYSignWarn_Caution_D01_N1_81_CitySample_HLOD0_000000000b5b730c,255,255,110
SM_BLDG_Prop_AC_Window_A01_N1_82_CitySample_HLOD0_000000000b5b730c,255,127,110
SM_BLDG_Prop_FirehoseConn_Outlet_C01_N1_83_CitySample_HLOD0_000000000b5b730c,255,191,110
SM_BLDG_Prop_RA_Marquee_A01_N1_84_CitySample_HLOD0_000000000b5b730c,255,95,110
SM_FreewaySign_Frame_A_Pole_01_N1_85_CitySample_HLOD0_000000000b5b730c,255,159,110
SM_ShippingContainer_A02_N1_86_CitySample_HLOD0_000000000b5b730c,255,223,110
SM_FWYSignWarn_Caution_E01_N1_87_CitySample_HLOD0_000000000b5b730c,255,79,110
Modular_Curb_5_M_LOD0_vcflbc0dw_88_CitySample_HLOD0_000000000b5b730c,127,255,110
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_89_CitySample_HLOD0_000000000b5b730c,127,127,110
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_90_CitySample_HLOD0_000000000b5b730c,127,191,110
Modular_Curb_5_M_LOD0_vcjmecpdw_91_CitySample_HLOD0_000000000b5b730c,127,95,110
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_92_CitySample_HLOD0_000000000b5b730c,127,159,110
Modular_Curb_5_M_LOD0_vccgfazdw_93_CitySample_HLOD0_000000000b5b730c,127,223,110
Modular_Curb_5_M_LOD0_vccgfazdw_RED_94_CitySample_HLOD0_000000000b5b730c,127,79,110
Modular_Curb_5_M_LOD0_vccgfazdw_WHITE_95_CitySample_HLOD0_000000000b5b730c,191,255,110
Modular_Median_4_M_LOD0_vcdmdexdw_96_CitySample_HLOD0_000000000b5b730c,191,127,110
Modular_Median_4_M_LOD0_vcchabhdw_97_CitySample_HLOD0_000000000b5b730c,191,191,110
SM_Plaza_Square_D_98_CitySample_HLOD0_000000000b5b730c,191,95,110
SM_Sidewalk_6_3_A_99_CitySample_HLOD0_000000000b5b730c,191,159,110
SM_Sidewalk_6_3_B_100_CitySample_HLOD0_000000000b5b730c,191,223,110
SM_Sidewalk_6_3_C_101_CitySample_HLOD0_000000000b5b730c,191,79,110
SM_Sidewalk_6_3_D_102_CitySample_HLOD0_000000000b5b730c,95,255,110
SM_Sidewalk_6_3_E_103_CitySample_HLOD0_000000000b5b730c,95,127,110
SM_Sidewalk_Square_Parking_104_CitySample_HLOD0_000000000b5b730c,95,191,110
SM_Barricade_A_0_CitySample_HLOD0_00000000285b0dc7,95,95,110
Pier_Roof_Mid_B_01_N1_1_CitySample_HLOD0_00000000285b0dc7,95,159,110
Pier_bldg_Wall_01_N1_2_CitySample_HLOD0_00000000285b0dc7,95,223,110
Pier_Deck_02_N1_3_CitySample_HLOD0_00000000285b0dc7,95,79,110
Pier_bldg_EndCap_B_01_N1_4_CitySample_HLOD0_00000000285b0dc7,159,255,110
SM_roof_exhaust_a_N1_5_CitySample_HLOD0_00000000285b0dc7,159,127,110
Pier_Deck_Corner_01_N1_6_CitySample_HLOD0_00000000285b0dc7,159,191,110
SM_roof_pipe_exhaust_b_N1_7_CitySample_HLOD0_00000000285b0dc7,159,95,110
uiyjbcega_LOD0_8_CitySample_HLOD0_00000000285b0dc7,159,159,110
SM_roof_pipe_a_N1_9_CitySample_HLOD0_00000000285b0dc7,159,223,110
Pier_bldg_EndCap_B_02_N1_10_CitySample_HLOD0_00000000285b0dc7,159,79,110
uiohfgxfa_LOD0_11_CitySample_HLOD0_00000000285b0dc7,223,255,110
SM_roof_pipe_b_N1_12_CitySample_HLOD0_00000000285b0dc7,223,127,110
Pier_Roof_B_01_N1_13_CitySample_HLOD0_00000000285b0dc7,223,191,110
SM_roof_Ac_pipe_a_N1_14_CitySample_HLOD0_00000000285b0dc7,223,95,110
Pier_Roof_Mid_B_03_N1_15_CitySample_HLOD0_00000000285b0dc7,223,159,110
Cement_Bollard_Closed_16_CitySample_HLOD0_00000000285b0dc7,223,223,110
Cement_Bollard__17_CitySample_HLOD0_00000000285b0dc7,223,79,110
Pier_Deck_01_N1_18_CitySample_HLOD0_00000000285b0dc7,79,255,110
SM_Cone_C_A_19_CitySample_HLOD0_00000000285b0dc7,79,127,110
SM_Sandbag_D01_N1_20_CitySample_HLOD0_00000000285b0dc7,79,191,110
uh4ffdmga_LOD0_21_CitySample_HLOD0_00000000285b0dc7,79,95,110
SM_CTY_StreetSign_A01_N1_22_CitySample_HLOD0_00000000285b0dc7,79,159,110
SM_Sandbag_F01_N1_23_CitySample_HLOD0_00000000285b0dc7,79,223,110
SM_CTY_StreetSign_E01_N1_24_CitySample_HLOD0_00000000285b0dc7,79,79,110
uhrhabqfa_LOD0_25_CitySample_HLOD0_00000000285b0dc7,255,110,255
SM_Sandbag_E01_N1_26_CitySample_HLOD0_00000000285b0dc7,255,110,127
SM_FWYBarrier_SignTrash_C01_N1_27_CitySample_HLOD0_00000000285b0dc7,255,110,191
SM_FWYBarrier_SignTrash_E01_N1_28_CitySample_HLOD0_00000000285b0dc7,255,110,95
Pier_bldg_Wall_02_N1_29_CitySample_HLOD0_00000000285b0dc7,255,110,159
Wooden_Pallet_LOD0_texcdfcda_30_CitySample_HLOD0_00000000285b0dc7,255,110,223
Trash_Bag_LOD0_vbelddldw_31_CitySample_HLOD0_00000000285b0dc7,255,110,79
SM_Sandbag_G03_N1_32_CitySample_HLOD0_00000000285b0dc7,127,110,255
SM_Sandbag_H03_N1_33_CitySample_HLOD0_00000000285b0dc7,127,110,127
SM_Sandbag_H01_N1_34_CitySample_HLOD0_00000000285b0dc7,127,110,191
SM_Sandbag_F03_N1_35_CitySample_HLOD0_00000000285b0dc7,127,110,95
SM_FWYBarrier_Sidewall_A01_N1_36_CitySample_HLOD0_00000000285b0dc7,127,110,159
uhrgdbffa_LOD0_37_CitySample_HLOD0_00000000285b0dc7,127,110,223
SM_roof_breaker_box_b_N1_38_CitySample_HLOD0_00000000285b0dc7,127,110,79
Trash_Bag_LOD0_vbzqfivfa_39_CitySample_HLOD0_00000000285b0dc7,191,110,255
S_Wooden_Cable_Reel_uldldbuga_lod0_Var1_40_CitySample_HLOD0_00000000285b0dc7,191,110,127
Concrete_Barrier_LOD0_ubitfhtfa_41_CitySample_HLOD0_00000000285b0dc7,191,110,191
S_Wooden_Cable_Reel_uldhdhdva_lod0_Var1_42_CitySample_HLOD0_00000000285b0dc7,191,110,95
SM_roof_storage_N1_43_CitySample_HLOD0_00000000285b0dc7,191,110,159
SM_Ladder_A01_N1_44_CitySample_HLOD0_00000000285b0dc7,191,110,223
SM_FWYTrash_Cup_B01_N1_45_CitySample_HLOD0_00000000285b0dc7,191,110,79
SM_ShippingContainer_B01_N1_46_CitySample_HLOD0_00000000285b0dc7,95,110,255
SM_BLDG_Prop_Lamp_Wall_A02_N1_47_CitySample_HLOD0_00000000285b0dc7,95,110,127
SM_FreewaySign_Frame_A_SpotLight_01_N1_48_CitySample_HLOD0_00000000285b0dc7,95,110,191
SM_FreewaySign_Frame_A_StructureR_01_N1_49_CitySample_HLOD0_00000000285b0dc7,95,110,95
SM_Scaffolding_N01_N1_50_CitySample_HLOD0_00000000285b0dc7,95,110,159
SM_FreewaySign_Frame_A_StructureL_01_N1_51_CitySample_HLOD0_00000000285b0dc7,95,110,223
SM_BLDG_Prop_RA_Marquee_A01_N1_52_CitySample_HLOD0_00000000285b0dc7,95,110,79
SM_FWYTrash_Bag_B01_N1_53_CitySample_HLOD0_00000000285b0dc7,159,110,255
SM_BLDG_Prop_FirehoseConn_Outlet_A01_N1_54_CitySample_HLOD0_00000000285b0dc7,159,110,127
SM_BLDG_Prop_AC_Window_A01_N1_55_CitySample_HLOD0_00000000285b0dc7,159,110,191
SM_FWYPoleMounted_A01_N1_56_CitySample_HLOD0_00000000285b0dc7,159,110,95
SM_FWYTrash_Lid_A01_N1_57_CitySample_HLOD0_00000000285b0dc7,159,110,159
SM_FreewaySign_Frame_A_Pole_01_N1_58_CitySample_HLOD0_00000000285b0dc7,159,110,223
SM_Fence_ChainLink_A03_N1_59_CitySample_HLOD0_00000000285b0dc7,159,110,79
SM_BLDG_Prop_FirehoseConn_Outlet_C01_N1_60_CitySample_HLOD0_00000000285b0dc7,223,110,255
SM_Scaffolding_I01_N1_61_CitySample_HLOD0_00000000285b0dc7,223,110,127
SM_Scaffolding_G01_N1_62_CitySample_HLOD0_00000000285b0dc7,223,110,191
SM_LumberPile_A02_N1_63_CitySample_HLOD0_00000000285b0dc7,223,110,95
SM_CineCam_0_ExternalCamera,223,110,159
MatineeCam_SM_1_ExternalCamera,223,110,223
MatineeCam_SM_2_ExternalCamera,223,110,79
MatineeCam_SM_3_ExternalCamera,79,110,255
MatineeCam_SM_4_ExternalCamera,79,110,127
MatineeCam_SM_5_ExternalCamera,79,110,191
Cone_6_ExternalCamera,79,110,95
MatineeCam_SM_7_ExternalCamera,79,110,159
MatineeCam_SM_8_ExternalCamera,79,110,223
MatineeCam_SM_9_ExternalCamera,79,110,79
MatineeCam_SM_10_ExternalCamera,255,110,110
MatineeCam_SM_11_ExternalCamera,127,110,110
Quadrotor1_0_airsimvehicle,191,110,110
Propeller_1_airsimvehicle,95,110,110
Propeller_2_airsimvehicle,159,110,110
Propeller_3_airsimvehicle,223,110,110
Propeller_4_airsimvehicle,79,110,110
SM_CineCam_0_FrontRightCamera_airsimvehicle,110,255,255
MatineeCam_SM_1_FrontRightCamera_airsimvehicle,110,255,127
MatineeCam_SM_2_FrontRightCamera_airsimvehicle,110,255,191
MatineeCam_SM_3_FrontRightCamera_airsimvehicle,110,255,95
MatineeCam_SM_4_FrontRightCamera_airsimvehicle,110,255,159
MatineeCam_SM_5_FrontRightCamera_airsimvehicle,110,255,223
Cone_6_FrontRightCamera_airsimvehicle,110,255,79
MatineeCam_SM_7_FrontRightCamera_airsimvehicle,110,127,255
MatineeCam_SM_8_FrontRightCamera_airsimvehicle,110,127,127
MatineeCam_SM_9_FrontRightCamera_airsimvehicle,110,127,191
MatineeCam_SM_10_FrontRightCamera_airsimvehicle,110,127,95
MatineeCam_SM_11_FrontRightCamera_airsimvehicle,110,127,159
SM_CineCam_0_FrontLeftCamera_airsimvehicle,110,127,223
MatineeCam_SM_1_FrontLeftCamera_airsimvehicle,110,127,79
MatineeCam_SM_2_FrontLeftCamera_airsimvehicle,110,191,255
MatineeCam_SM_3_FrontLeftCamera_airsimvehicle,110,191,127
MatineeCam_SM_4_FrontLeftCamera_airsimvehicle,110,191,191
MatineeCam_SM_5_FrontLeftCamera_airsimvehicle,110,191,95
Cone_6_FrontLeftCamera_airsimvehicle,110,191,159
MatineeCam_SM_7_FrontLeftCamera_airsimvehicle,110,191,223
MatineeCam_SM_8_FrontLeftCamera_airsimvehicle,110,191,79
MatineeCam_SM_9_FrontLeftCamera_airsimvehicle,110,95,255
MatineeCam_SM_10_FrontLeftCamera_airsimvehicle,110,95,127
MatineeCam_SM_11_FrontLeftCamera_airsimvehicle,110,95,191
SM_CineCam_0_FrontCenterCamera_airsimvehicle,110,95,95
MatineeCam_SM_1_FrontCenterCamera_airsimvehicle,110,95,159
MatineeCam_SM_2_FrontCenterCamera_airsimvehicle,110,95,223
MatineeCam_SM_3_FrontCenterCamera_airsimvehicle,110,95,79
MatineeCam_SM_4_FrontCenterCamera_airsimvehicle,110,159,255
MatineeCam_SM_5_FrontCenterCamera_airsimvehicle,110,159,127
Cone_6_FrontCenterCamera_airsimvehicle,110,159,191
MatineeCam_SM_7_FrontCenterCamera_airsimvehicle,110,159,95
MatineeCam_SM_8_FrontCenterCamera_airsimvehicle,110,159,159
MatineeCam_SM_9_FrontCenterCamera_airsimvehicle,110,159,223
MatineeCam_SM_10_FrontCenterCamera_airsimvehicle,110,159,79
MatineeCam_SM_11_FrontCenterCamera_airsimvehicle,110,223,255
SM_CineCam_0_BackCenterCamera_airsimvehicle,110,223,127
MatineeCam_SM_1_BackCenterCamera_airsimvehicle,110,223,191
MatineeCam_SM_2_BackCenterCamera_airsimvehicle,110,223,95
MatineeCam_SM_3_BackCenterCamera_airsimvehicle,110,223,159
MatineeCam_SM_4_BackCenterCamera_airsimvehicle,110,223,223
MatineeCam_SM_5_BackCenterCamera_airsimvehicle,110,223,79
Cone_6_BackCenterCamera_airsimvehicle,110,79,255
MatineeCam_SM_7_BackCenterCamera_airsimvehicle,110,79,127
MatineeCam_SM_8_BackCenterCamera_airsimvehicle,110,79,191
MatineeCam_SM_9_BackCenterCamera_airsimvehicle,110,79,95
MatineeCam_SM_10_BackCenterCamera_airsimvehicle,110,79,159
MatineeCam_SM_11_BackCenterCamera_airsimvehicle,110,79,223
SM_CineCam_0_BottomCenterCamera_airsimvehicle,110,79,79
MatineeCam_SM_1_BottomCenterCamera_airsimvehicle,110,255,110
MatineeCam_SM_2_BottomCenterCamera_airsimvehicle,110,127,110
MatineeCam_SM_3_BottomCenterCamera_airsimvehicle,110,191,110
MatineeCam_SM_4_BottomCenterCamera_airsimvehicle,110,95,110
MatineeCam_SM_5_BottomCenterCamera_airsimvehicle,110,159,110
Cone_6_BottomCenterCamera_airsimvehicle,110,223,110
MatineeCam_SM_7_BottomCenterCamera_airsimvehicle,110,79,110
MatineeCam_SM_8_BottomCenterCamera_airsimvehicle,110,110,255
MatineeCam_SM_9_BottomCenterCamera_airsimvehicle,110,110,127
MatineeCam_SM_10_BottomCenterCamera_airsimvehicle,110,110,191
MatineeCam_SM_11_BottomCenterCamera_airsimvehicle,110,110,95
SM_CineCam_0_BP_PIPCamera_C_5,110,110,159
MatineeCam_SM_1_BP_PIPCamera_C_5,110,110,223
MatineeCam_SM_2_BP_PIPCamera_C_5,110,110,79
MatineeCam_SM_3_BP_PIPCamera_C_5,110,110,110
MatineeCam_SM_4_BP_PIPCamera_C_5,255,255,143
MatineeCam_SM_5_BP_PIPCamera_C_5,255,127,143
Cone_6_BP_PIPCamera_C_5,255,191,143
MatineeCam_SM_7_BP_PIPCamera_C_5,255,95,143
MatineeCam_SM_8_BP_PIPCamera_C_5,255,159,143
MatineeCam_SM_9_BP_PIPCamera_C_5,255,223,143
MatineeCam_SM_10_BP_PIPCamera_C_5,255,79,143
MatineeCam_SM_11_BP_PIPCamera_C_5,255,110,143
SM_CineCam_0_BP_PIPCamera_C_6,127,255,143
MatineeCam_SM_1_BP_PIPCamera_C_6,127,127,143
MatineeCam_SM_2_BP_PIPCamera_C_6,127,191,143
MatineeCam_SM_3_BP_PIPCamera_C_6,127,95,143
MatineeCam_SM_4_BP_PIPCamera_C_6,127,159,143
MatineeCam_SM_5_BP_PIPCamera_C_6,127,223,143
Cone_6_BP_PIPCamera_C_6,127,79,143
MatineeCam_SM_7_BP_PIPCamera_C_6,127,110,143
MatineeCam_SM_8_BP_PIPCamera_C_6,191,255,143
MatineeCam_SM_9_BP_PIPCamera_C_6,191,127,143
MatineeCam_SM_10_BP_PIPCamera_C_6,191,191,143
MatineeCam_SM_11_BP_PIPCamera_C_6,191,95,143
