ObjectName,R,G,B
Modular_Curb_5_M_LOD0_vccgfazdw_RED_27_CitySample_HLOD0_00000000d5bcf363,255,95,159
SM_Plaza_Square_C_28_CitySample_HLOD0_00000000d5bcf363,127,255,159
SM_Plaza_Square_D_29_CitySample_HLOD0_00000000d5bcf363,127,127,159
SM_Plaza_Square_F_30_CitySample_HLOD0_00000000d5bcf363,127,191,159
SM_Sidewalk_1-5_3_A_31_CitySample_HLOD0_00000000d5bcf363,127,95,159
SM_Sidewalk_3_3_A_32_CitySample_HLOD0_00000000d5bcf363,191,255,159
SM_Sidewalk_3_3_C_33_CitySample_HLOD0_00000000d5bcf363,191,127,159
SM_Sidewalk_3_3_D_34_CitySample_HLOD0_00000000d5bcf363,191,191,159
SM_Sidewalk_3_3_E_35_CitySample_HLOD0_00000000d5bcf363,191,95,159
SM_Sidewalk_6_3_A_36_CitySample_HLOD0_00000000d5bcf363,95,255,159
SM_Sidewalk_6_3_B_37_CitySample_HLOD0_00000000d5bcf363,95,127,159
SM_Sidewalk_6_3_C_38_CitySample_HLOD0_00000000d5bcf363,95,191,159
SM_Sidewalk_6_3_D_39_CitySample_HLOD0_00000000d5bcf363,95,95,159
SM_Sidewalk_6_3_E_40_CitySample_HLOD0_00000000d5bcf363,255,159,255
SM_Sidewalk_Square_A_41_CitySample_HLOD0_00000000d5bcf363,255,159,127
SM_Sidewalk_Square_Parking_42_CitySample_HLOD0_00000000d5bcf363,255,159,191
uiswcahdw_LOD0_43_CitySample_HLOD0_00000000d5bcf363,255,159,95
uiswackdw_LOD0_44_CitySample_HLOD0_00000000d5bcf363,127,159,255
SM_Sidewalk_Corner_90_45_CitySample_HLOD0_00000000d5bcf363,127,159,127
SM_Sidewalk_Half_Square_B_46_CitySample_HLOD0_00000000d5bcf363,127,159,191
SM_Painted_Parking_Line_01_inst_47_CitySample_HLOD0_00000000d5bcf363,127,159,95
SM_Road_SprayPaint_00_inst_48_CitySample_HLOD0_00000000d5bcf363,191,159,255
SM_Road_SprayPaint_02_inst_49_CitySample_HLOD0_00000000d5bcf363,191,159,127
SM_Road_SprayPaint_03_inst_50_CitySample_HLOD0_00000000d5bcf363,191,159,191
SM_Road_SprayPaint_04_inst_51_CitySample_HLOD0_00000000d5bcf363,191,159,95
SM_Road_SprayPaint_05_inst_52_CitySample_HLOD0_00000000d5bcf363,95,159,255
SM_Road_SprayPaint_06_inst_53_CitySample_HLOD0_00000000d5bcf363,95,159,127
SM_Road_SprayPaint_07_inst_54_CitySample_HLOD0_00000000d5bcf363,95,159,191
SM_Road_SprayPaint_08_inst_55_CitySample_HLOD0_00000000d5bcf363,95,159,95
SM_Road_SprayPaint_09_inst_56_CitySample_HLOD0_00000000d5bcf363,255,159,159
SM_Road_SprayPaint_10_inst_57_CitySample_HLOD0_00000000d5bcf363,127,159,159
SM_Road_SprayPaint_11_inst_58_CitySample_HLOD0_00000000d5bcf363,191,159,159
SM_Road_SprayPaint_12_inst_59_CitySample_HLOD0_00000000d5bcf363,95,159,159
SM_Road_SprayPaint_13_inst_60_CitySample_HLOD0_00000000d5bcf363,159,255,255
SM_Road_SprayPaint_14_inst_61_CitySample_HLOD0_00000000d5bcf363,159,255,127
SM_Road_SprayPaint_15_inst_62_CitySample_HLOD0_00000000d5bcf363,159,255,191
SM_Road_SprayPaint_16_inst_63_CitySample_HLOD0_00000000d5bcf363,159,255,95
SM_Road_SprayPaint_17_inst_64_CitySample_HLOD0_00000000d5bcf363,159,127,255
SM_Road_SprayPaint_19_inst_65_CitySample_HLOD0_00000000d5bcf363,159,127,127
SM_Road_SprayPaint_20_inst_66_CitySample_HLOD0_00000000d5bcf363,159,127,191
